# Combined map
# rounds=12, blocks=2
# Format:
# <name> input/output <index> aig_lit <aig_lit> dimacs_lit <dimacs_lit>

# Inputs
rk[0][1] output 65 aig_lit 4 dimacs_lit 2
rk[0][2] output 66 aig_lit 6 dimacs_lit 3
rk[0][3] output 67 aig_lit 8 dimacs_lit 4
rk[0][4] output 68 aig_lit 10 dimacs_lit 5
rk[0][5] output 69 aig_lit 12 dimacs_lit 6
rk[0][6] output 70 aig_lit 14 dimacs_lit 7
rk[0][7] output 71 aig_lit 16 dimacs_lit 8
rk[0][8] output 72 aig_lit 18 dimacs_lit 9
rk[0][9] output 73 aig_lit 20 dimacs_lit 10
rk[0][10] output 74 aig_lit 22 dimacs_lit 11
rk[0][11] output 75 aig_lit 24 dimacs_lit 12
rk[0][12] output 76 aig_lit 26 dimacs_lit 13
rk[0][13] output 77 aig_lit 28 dimacs_lit 14
rk[0][14] output 78 aig_lit 30 dimacs_lit 15
rk[0][15] output 79 aig_lit 32 dimacs_lit 16
rk[1][0] output 80 aig_lit 34 dimacs_lit 17
rk[1][1] output 81 aig_lit 36 dimacs_lit 18
rk[1][2] output 82 aig_lit 38 dimacs_lit 19
rk[1][3] output 83 aig_lit 40 dimacs_lit 20
rk[1][4] output 84 aig_lit 42 dimacs_lit 21
rk[1][5] output 85 aig_lit 44 dimacs_lit 22
rk[1][6] output 86 aig_lit 46 dimacs_lit 23
rk[1][7] output 87 aig_lit 48 dimacs_lit 24
rk[1][8] output 88 aig_lit 50 dimacs_lit 25
rk[1][9] output 89 aig_lit 52 dimacs_lit 26
rk[1][10] output 90 aig_lit 54 dimacs_lit 27
rk[1][11] output 91 aig_lit 56 dimacs_lit 28
rk[1][12] output 92 aig_lit 58 dimacs_lit 29
rk[1][13] output 93 aig_lit 60 dimacs_lit 30
rk[1][14] output 94 aig_lit 62 dimacs_lit 31
rk[1][15] output 95 aig_lit 64 dimacs_lit 32
rk[2][0] output 96 aig_lit 66 dimacs_lit 33
rk[2][1] output 97 aig_lit 68 dimacs_lit 34
rk[2][2] output 98 aig_lit 70 dimacs_lit 35
rk[2][3] output 99 aig_lit 72 dimacs_lit 36
rk[2][4] output 100 aig_lit 74 dimacs_lit 37
rk[2][5] output 101 aig_lit 76 dimacs_lit 38
